customer_id,signup_date,age,gender,country,plan_type,monthly_fee
C000001,2023-08-02,43,Male,USA,Basic,9.99
C000002,2021-04-02,36,Male,Australia,Standard,19.99
C000003,2023-01-21,45,Male,Germany,Basic,9.99
C000004,2020-07-10,56,Male,USA,Standard,19.99
C000005,2023-02-23,35,Male,France,Premium,39.99
C000006,2022-05-09,35,Male,UK,Basic,9.99
C000007,2020-01-14,56,Male,France,Basic,9.99
C000008,2020-11-14,47,Male,Brazil,Basic,9.99
C000009,2020-07-08,32,Female,USA,Premium,39.99
C000010,2023-05-21,44,Female,India,Premium,39.99
C000011,2023-01-03,32,Male,Brazil,Basic,9.99
C000012,2023-02-04,32,Female,India,Standard,19.99
C000013,2024-10-30,40,Female,Germany,Premium,39.99
C000014,2020-04-03,18,Non-Binary,USA,Basic,9.99
C000015,2020-06-12,18,Male,India,Basic,9.99
C000016,2022-07-17,31,Non-Binary,India,Basic,9.99
C000017,2021-12-28,25,Male,France,Premium,39.99
C000018,2023-10-31,41,Non-Binary,USA,Standard,19.99
C000019,2022-12-29,27,Non-Binary,USA,Standard,19.99
C000020,2021-07-06,21,Non-Binary,France,Basic,9.99
C000021,2021-10-26,55,Male,USA,Basic,9.99
C000022,2021-10-08,35,Female,USA,Basic,9.99
C000023,2023-03-07,38,Non-Binary,UK,Standard,19.99
C000024,2022-03-21,20,Non-Binary,Canada,Basic,9.99
C000025,2021-05-20,31,Non-Binary,Germany,Basic,9.99
C000026,2023-04-12,39,Female,India,Basic,9.99
C000027,2021-03-25,24,Male,Canada,Basic,9.99
C000028,2020-04-06,42,Male,USA,Basic,9.99
C000029,2023-10-25,30,Female,Germany,Basic,9.99
C000030,2023-05-05,34,Female,Canada,Enterprise,99.99
C000031,2024-10-28,30,Male,France,Basic,9.99
C000032,2023-01-04,60,Female,Australia,Basic,9.99
C000033,2021-08-24,37,Female,USA,Basic,9.99
C000034,2024-01-18,25,Non-Binary,USA,Standard,19.99
C000035,2020-12-31,47,Non-Binary,India,Premium,39.99
C000036,2021-09-03,23,Non-Binary,Canada,Basic,9.99
C000037,2022-02-04,40,Male,Canada,Premium,39.99
C000038,2022-12-22,18,Male,Germany,Standard,19.99
C000039,2020-08-17,22,Female,India,Premium,39.99
C000040,2021-09-21,40,Male,USA,Premium,39.99
C000041,2020-06-10,46,Male,Australia,Premium,39.99
C000042,2024-04-06,40,Non-Binary,Australia,Basic,9.99
C000043,2022-08-31,36,Non-Binary,USA,Standard,19.99
C000044,2023-05-27,34,Female,Brazil,Enterprise,99.99
C000045,2024-03-26,20,Non-Binary,France,Premium,39.99
C000046,2022-03-28,29,Non-Binary,Germany,Standard,19.99
C000047,2022-11-25,32,Female,USA,Basic,9.99
C000048,2021-11-23,50,Male,Germany,Basic,9.99
C000049,2021-03-27,42,Male,USA,Standard,19.99
C000050,2021-04-13,18,Male,India,Premium,39.99
C000051,2020-05-25,41,Non-Binary,USA,Standard,19.99
C000052,2021-03-14,33,Non-Binary,USA,Enterprise,99.99
C000053,2023-03-15,29,Non-Binary,Canada,Premium,39.99
C000054,2024-07-11,45,Female,USA,Basic,9.99
C000055,2022-06-01,50,Female,UK,Standard,19.99
C000056,2024-02-02,49,Male,France,Enterprise,99.99
C000057,2020-07-20,27,Male,UK,Basic,9.99
C000058,2024-10-30,34,Male,USA,Basic,9.99
C000059,2022-07-07,41,Male,UK,Basic,9.99
C000060,2021-05-26,49,Male,UK,Premium,39.99
C000061,2023-02-01,32,Male,USA,Enterprise,99.99
C000062,2024-09-08,35,Male,Brazil,Enterprise,99.99
C000063,2024-10-04,24,Male,USA,Standard,19.99
C000064,2021-03-13,23,Female,India,Basic,9.99
C000065,2020-01-05,47,Female,USA,Premium,39.99
C000066,2022-07-20,54,Female,UK,Enterprise,99.99
C000067,2024-05-23,37,Non-Binary,France,Standard,19.99
C000068,2021-01-23,50,Female,USA,Basic,9.99
C000069,2024-02-15,42,Non-Binary,USA,Basic,9.99
C000070,2020-04-12,30,Non-Binary,Canada,Enterprise,99.99
C000071,2022-12-23,42,Male,USA,Standard,19.99
C000072,2024-10-09,56,Male,USA,Basic,9.99
C000073,2024-10-31,37,Male,UK,Enterprise,99.99
C000074,2023-03-12,56,Male,Germany,Basic,9.99
C000075,2020-06-16,18,Female,France,Standard,19.99
C000076,2021-10-09,47,Female,USA,Premium,39.99
C000077,2021-05-03,39,Female,UK,Standard,19.99
C000078,2021-09-06,34,Female,UK,Premium,39.99
C000079,2020-05-28,39,Male,Canada,Enterprise,99.99
C000080,2020-07-23,18,Male,Canada,Standard,19.99
C000081,2020-09-28,35,Female,India,Premium,39.99
C000082,2022-01-26,42,Female,USA,Premium,39.99
C000083,2023-12-11,55,Female,Germany,Enterprise,99.99
C000084,2023-09-01,31,Non-Binary,USA,Premium,39.99
C000085,2021-09-05,28,Non-Binary,USA,Premium,39.99
C000086,2021-06-25,31,Male,India,Premium,39.99
C000087,2020-11-14,48,Female,USA,Basic,9.99
