ticket_id,customer_id,ticket_date,ticket_category,resolution_time_hrs,satisfaction_score
T000002_01,C000002,2023-05-05,technical,0.7,2
T000004_01,C000004,2022-11-19,technical,2.5,1
T000006_02,C000006,2022-10-02,account,5.4,1
T000006_01,C000006,2024-03-16,billing,1.9,3
T000007_01,C000007,2021-11-11,technical,4.1,3
T000008_02,C000008,2020-12-02,billing,6.2,1
T000008_01,C000008,2022-06-05,technical,17.5,2
T000008_04,C000008,2023-10-18,account,18.1,5
T000008_03,C000008,2024-04-02,technical,7.2,5
T000009_02,C000009,2020-11-16,billing,8.6,2
T000009_04,C000009,2020-12-07,account,4.3,5
T000009_03,C000009,2022-11-01,technical,3.6,4
T000009_01,C000009,2024-03-18,technical,14.1,5
T000011_01,C000011,2024-04-23,feature_request,6.9,2
T000012_01,C000012,2024-03-06,account,12.9,1
T000015_01,C000015,2021-04-22,technical,7.2,3
T000015_02,C000015,2023-05-20,feature_request,1.3,2
T000015_03,C000015,2024-04-14,billing,4.2,2
T000019_01,C000019,2023-02-18,technical,11.3,2
T000020_02,C000020,2022-09-02,billing,11.3,2
T000020_01,C000020,2024-11-05,technical,1.3,5
T000021_01,C000021,2022-12-06,cancellation,1.3,2
T000021_02,C000021,2023-12-22,account,3.3,5
T000023_02,C000023,2023-07-23,technical,17.0,4
T000023_01,C000023,2024-08-16,technical,0.5,2
T000024_01,C000024,2023-05-13,account,11.2,2
T000025_01,C000025,2021-12-02,technical,1.4,1
T000026_01,C000026,2024-01-22,technical,12.3,1
T000027_01,C000027,2022-03-30,technical,13.6,1
T000027_02,C000027,2024-11-26,billing,5.4,3
T000028_02,C000028,2023-06-26,cancellation,6.9,1
T000028_01,C000028,2024-03-08,technical,3.7,3
T000033_02,C000033,2023-11-15,account,4.4,3
T000033_01,C000033,2024-01-22,billing,13.8,3
T000034_01,C000034,2024-05-31,billing,14.3,2
T000036_01,C000036,2023-10-08,account,2.8,1
T000038_01,C000038,2024-09-06,cancellation,8.5,2
T000038_02,C000038,2024-12-02,cancellation,0.9,1
T000039_01,C000039,2024-04-25,account,1.9,1
T000039_02,C000039,2024-09-12,cancellation,16.3,1
